,a1,a2,a1_coefficients,a2_coefficients,a3_coefficient,c1_coefficients,c2_coefficients,ETL_stack_sequence1,ETL_stack_sequence2,ETL_stack_sequence3,ETL_thickness1,ETL_thickness2,HTL_additives_compounds1,HTL_additives_compounds2,HTL_additives_compounds3,Perovskite_deposition_solvents1,Perovskite_deposition_solvents2,Perovskite_deposition_solvents3,HTL_stack_sequence1,Perovskite_deposition_thermal_annealing_temperature1,Perovskite_deposition_thermal_annealing_temperature2,Perovskite_deposition_thermal_annealing_time1,Perovskite_deposition_thermal_annealing_time2,JV_default_PCE
47,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,650.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,45.0,0.0,0
48,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,650.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,45.0,0.0,0
49,253.0,31.1,0.38,0.57,0.0,3.0,0.0,81.4,0.0,0.0,45.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
50,253.0,31.1,0.38,0.57,0.0,3.0,0.0,81.4,0.0,0.0,45.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
51,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,50.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
52,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,200.0,39.1,253.8,266.0,78.0,0.0,0.0,408.83,100,0,10.0,0.0,0
53,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,200.0,39.1,253.8,266.0,78.0,0.0,0.0,408.83,100,0,10.0,0.0,0
54,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,200.0,39.1,253.8,266.0,78.0,0.0,0.0,408.83,100,0,10.0,0.0,0
55,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,200.0,39.1,253.8,266.0,78.0,0.0,0.0,408.83,100,0,10.0,0.0,0
56,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,200.0,39.1,253.8,266.0,78.0,0.0,0.0,408.83,100,0,10.0,0.0,0
57,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,200.0,39.1,253.8,266.0,78.0,0.0,0.0,408.83,100,0,10.0,0.0,0
58,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,200.0,39.1,253.8,266.0,78.0,0.0,0.0,408.83,100,0,10.0,0.0,0
59,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,200.0,39.1,253.8,266.0,78.0,0.0,0.0,408.83,100,0,10.0,0.0,0
60,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,200.0,39.1,253.8,266.0,78.0,0.0,0.0,408.83,100,0,10.0,0.0,0
61,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,200.0,39.1,253.8,266.0,78.0,0.0,0.0,408.83,100,0,10.0,0.0,0
62,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,200.0,39.1,253.8,266.0,78.0,0.0,0.0,408.83,100,0,10.0,0.0,0
63,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,50.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
64,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,50.0,430.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
65,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,50.0,350.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
66,253.0,31.1,0.85,0.15,0.0,0.45,2.55,47.86,47.86,0.0,50.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,60,0,30.0,0.0,0
67,253.0,31.1,0.85,0.15,0.0,0.45,2.55,47.86,47.86,0.0,50.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,60,0,30.0,0.0,0
68,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,70.0,0.0,39.1,253.8,266.0,18.0,78.0,0.0,1787.74,100,0,60.0,0.0,0
69,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,50.0,0.0,39.1,253.8,266.0,18.0,78.0,0.0,1787.74,100,0,60.0,0.0,0
70,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,70.0,50.0,39.1,253.8,266.0,18.0,78.0,0.0,1787.74,100,0,60.0,0.0,0
